id,dD_SK,dD_se
1,-54,1
2,-48,1
3,-40,1
4,-36,1
5,-49,1
6,-45,1
7,-51,1
8,-54,1
9,-52,1
10,-30,1
11,-40,1
12,-66,1
13,-32,1
14,-53,1
15,-37,1
16,-38,1
17,-36,1
18,-53,1
19,-52,1
20,-76,1
21,-28,1
22,-54,1
23,-44,1
24,-82,1
25,-49,1
26,-35,1
27,-57,1
28,-69,1
29,-38,1
30,-39,1
31,-45,1
32,-55,1
33,-32,1
34,-36,1
35,-77,1
36,-41,1
37,-47,1
38,-40,1
39,-47,1
40,-34,1
41,-53,1
42,-51,1
43,-48,1
44,-41,1
45,-74,1
46,-48,1
47,-44,1
48,-43,1
49,-44,1
50,-35,1
51,-67,1
52,-44,1
53,-49,1
54,-60,1
55,-57,1
56,-39,1
57,-46,1
58,-39,1
59,-55,1
60,-59,1
61,-52,1
62,-60,1
63,-61,1
64,-72,1
